,match_col
2146,Portage County
2147,Preble County
2148,Putnam County
2149,Richland County
2150,Ross County
2151,Sandusky County
2152,Scioto County
2153,Seneca County
2154,Shelby County
2155,Stark County
2156,Summit County
2157,Trumbull County
2158,Tuscarawas County
2159,Union County
2160,Van Wert County
2161,Vinton County
2162,Warren County
2163,Washington County
2164,Wayne County
2165,Williams County
2166,Wood County
2167,Wyandot County
2168,Oklahoma
2169,Adair County
2170,Alfalfa County
2171,Atoka County
2172,Beaver County
2173,Beckham County
2174,Blaine County
2175,Bryan County
2176,Caddo County
2177,Canadian County
2178,Carter County
2179,Cherokee County
2180,Choctaw County
2181,Cimarron County
2182,Cleveland County
2183,Coal County
2184,Comanche County
2185,Cotton County
2186,Craig County
2187,Creek County
2188,Custer County
2189,Delaware County
2190,Dewey County
2191,Ellis County
2192,Garfield County
2193,Garvin County
2194,Grady County
2195,Grant County
2196,Greer County
2197,Harmon County
2198,Harper County
2199,Haskell County
2200,Hughes County
2201,Jackson County
2202,Jefferson County
2203,Johnston County
2204,Kay County
2205,Kingfisher County
2206,Kiowa County
2207,Latimer County
2208,Le Flore County
2209,Lincoln County
2210,Logan County
2211,Love County
2212,McClain County
2213,McCurtain County
2214,McIntosh County
2215,Major County
2216,Marshall County
2217,Mayes County
2218,Murray County
2219,Muskogee County
2220,Noble County
2221,Nowata County
2222,Okfuskee County
2223,Oklahoma County
2224,Okmulgee County
2225,Osage County
2226,Ottawa County
2227,Pawnee County
2228,Payne County
2229,Pittsburg County
2230,Pontotoc County
2231,Pottawatomie County
2232,Pushmataha County
2233,Roger Mills County
2234,Rogers County
2235,Seminole County
2236,Sequoyah County
2237,Stephens County
2238,Texas County
2239,Tillman County
2240,Tulsa County
2241,Wagoner County
2242,Washington County
2243,Washita County
2244,Woods County
2245,Woodward County
2246,Oregon
2247,Baker County
2248,Benton County
2249,Clackamas County
2250,Clatsop County
2251,Columbia County
2252,Coos County
2253,Crook County
2254,Curry County
2255,Deschutes County
2256,Douglas County
2257,Gilliam County
2258,Grant County
2259,Harney County
2260,Hood River County
2261,Jackson County
2262,Jefferson County
2263,Josephine County
2264,Klamath County
2265,Lake County
2266,Lane County
2267,Lincoln County
2268,Linn County
2269,Malheur County
2270,Marion County
2271,Morrow County
2272,Multnomah County
2273,Polk County
2274,Sherman County
2275,Tillamook County
2276,Umatilla County
2277,Union County
2278,Wallowa County
2279,Wasco County
2280,Washington County
2281,Wheeler County
2282,Yamhill County
2283,Pennsylvania
2284,Adams County
2285,Allegheny County
2286,Armstrong County
2287,Beaver County
2288,Bedford County
2289,Berks County
2290,Blair County
2291,Bradford County
2292,Bucks County
2293,Butler County
2294,Cambria County
2295,Cameron County
2296,Carbon County
2297,Centre County
2298,Chester County
2299,Clarion County
2300,Clearfield County
2301,Clinton County
2302,Columbia County
2303,Crawford County
2304,Cumberland County
2305,Dauphin County
2306,Delaware County
2307,Elk County
2308,Erie County
2309,Fayette County
2310,Forest County
2311,Franklin County
2312,Fulton County
2313,Greene County
2314,Huntingdon County
2315,Indiana County
2316,Jefferson County
2317,Juniata County
2318,Lackawanna County
2319,Lancaster County
2320,Lawrence County
2321,Lebanon County
2322,Lehigh County
2323,Luzerne County
2324,Lycoming County
2325,McKean County
2326,Mercer County
2327,Mifflin County
2328,Monroe County
2329,Montgomery County
2330,Montour County
2331,Northampton County
2332,Northumberland County
2333,Perry County
2334,Philadelphia County
2335,Pike County
2336,Potter County
2337,Schuylkill County
2338,Snyder County
2339,Somerset County
2340,Sullivan County
2341,Susquehanna County
2342,Tioga County
2343,Union County
2344,Venango County
2345,Warren County
2346,Washington County
2347,Wayne County
2348,Westmoreland County
2349,Wyoming County
2350,York County
2351,Rhode Island
2352,Bristol County
2353,Kent County
2354,Newport County
2355,Providence County
2356,Washington County
2357,South Carolina
2358,Abbeville County
2359,Aiken County
2360,Allendale County
2361,Anderson County
2362,Bamberg County
2363,Barnwell County
2364,Beaufort County
2365,Berkeley County
2366,Calhoun County
2367,Charleston County
2368,Cherokee County
2369,Chester County
2370,Chesterfield County
2371,Clarendon County
2372,Colleton County
2373,Darlington County
2374,Dillon County
2375,Dorchester County
2376,Edgefield County
2377,Fairfield County
2378,Florence County
2379,Georgetown County
2380,Greenville County
2381,Greenwood County
2382,Hampton County
2383,Horry County
2384,Jasper County
2385,Kershaw County
2386,Lancaster County
2387,Laurens County
2388,Lee County
2389,Lexington County
2390,McCormick County
2391,Marion County
2392,Marlboro County
2393,Newberry County
2394,Oconee County
2395,Orangeburg County
2396,Pickens County
2397,Richland County
2398,Saluda County
2399,Spartanburg County
2400,Sumter County
2401,Union County
2402,Williamsburg County
2403,York County
2404,South Dakota
2405,Aurora County
2406,Beadle County
2407,Bennett County
2408,Bon Homme County
2409,Brookings County
2410,Brown County
2411,Brule County
2412,Buffalo County
2413,Butte County
2414,Campbell County
2415,Charles Mix County
2416,Clark County
2417,Clay County
2418,Codington County
2419,Corson County
2420,Custer County
2421,Davison County
2422,Day County
2423,Deuel County
2424,Dewey County
2425,Douglas County
2426,Edmunds County
2427,Fall River County
2428,Faulk County
2429,Grant County
2430,Gregory County
2431,Haakon County
2432,Hamlin County
2433,Hand County
2434,Hanson County
2435,Harding County
2436,Hughes County
2437,Hutchinson County
2438,Hyde County
2439,Jackson County
2440,Jerauld County
2441,Jones County
2442,Kingsbury County
2443,Lake County
2444,Lawrence County
2445,Lincoln County
2446,Lyman County
2447,McCook County
2448,McPherson County
2449,Marshall County
2450,Meade County
2451,Mellette County
2452,Miner County
2453,Minnehaha County
2454,Moody County
2455,Oglala Lakota County
2456,Pennington County
2457,Perkins County
2458,Potter County
2459,Roberts County
2460,Sanborn County
2461,Spink County
2462,Stanley County
2463,Sully County
2464,Todd County
2465,Tripp County
2466,Turner County
2467,Union County
2468,Walworth County
2469,Yankton County
2470,Ziebach County
2471,Tennessee
2472,Anderson County
2473,Bedford County
2474,Benton County
2475,Bledsoe County
2476,Blount County
2477,Bradley County
2478,Campbell County
2479,Cannon County
2480,Carroll County
2481,Carter County
2482,Cheatham County
2483,Chester County
2484,Claiborne County
2485,Clay County
2486,Cocke County
2487,Coffee County
2488,Crockett County
2489,Cumberland County
2490,Davidson County
2491,Decatur County
2492,DeKalb County
2493,Dickson County
2494,Dyer County
2495,Fayette County
2496,Fentress County
2497,Franklin County
2498,Gibson County
2499,Giles County
2500,Grainger County
2501,Greene County
2502,Grundy County
2503,Hamblen County
2504,Hamilton County
2505,Hancock County
2506,Hardeman County
2507,Hardin County
2508,Hawkins County
2509,Haywood County
2510,Henderson County
2511,Henry County
2512,Hickman County
2513,Houston County
2514,Humphreys County
2515,Jackson County
2516,Jefferson County
2517,Johnson County
2518,Knox County
2519,Lake County
2520,Lauderdale County
2521,Lawrence County
2522,Lewis County
2523,Lincoln County
2524,Loudon County
2525,McMinn County
2526,McNairy County
2527,Macon County
2528,Madison County
2529,Marion County
2530,Marshall County
2531,Maury County
2532,Meigs County
2533,Monroe County
2534,Montgomery County
2535,Moore County
2536,Morgan County
2537,Obion County
2538,Overton County
2539,Perry County
2540,Pickett County
2541,Polk County
2542,Putnam County
2543,Rhea County
2544,Roane County
2545,Robertson County
2546,Rutherford County
2547,Scott County
2548,Sequatchie County
2549,Sevier County
2550,Shelby County
2551,Smith County
2552,Stewart County
2553,Sullivan County
2554,Sumner County
2555,Tipton County
2556,Trousdale County
2557,Unicoi County
2558,Union County
2559,Van Buren County
2560,Warren County
2561,Washington County
2562,Wayne County
2563,Weakley County
2564,White County
2565,Williamson County
2566,Wilson County
2567,Texas
2568,Anderson County
2569,Andrews County
2570,Angelina County
2571,Aransas County
2572,Archer County
2573,Armstrong County
2574,Atascosa County
2575,Austin County
2576,Bailey County
2577,Bandera County
2578,Bastrop County
2579,Baylor County
2580,Bee County
2581,Bell County
2582,Bexar County
2583,Blanco County
2584,Borden County
2585,Bosque County
2586,Bowie County
2587,Brazoria County
2588,Brazos County
2589,Brewster County
2590,Briscoe County
2591,Brooks County
2592,Brown County
2593,Burleson County
2594,Burnet County
2595,Caldwell County
2596,Calhoun County
2597,Callahan County
2598,Cameron County
2599,Camp County
2600,Carson County
2601,Cass County
2602,Castro County
2603,Chambers County
2604,Cherokee County
2605,Childress County
2606,Clay County
2607,Cochran County
2608,Coke County
2609,Coleman County
2610,Collin County
2611,Collingsworth County
2612,Colorado County
2613,Comal County
2614,Comanche County
2615,Concho County
2616,Cooke County
2617,Coryell County
2618,Cottle County
2619,Crane County
2620,Crockett County
2621,Crosby County
2622,Culberson County
2623,Dallam County
2624,Dallas County
2625,Dawson County
2626,Deaf Smith County
2627,Delta County
2628,Denton County
2629,DeWitt County
2630,Dickens County
2631,Dimmit County
2632,Donley County
2633,Duval County
2634,Eastland County
2635,Ector County
2636,Edwards County
2637,Ellis County
2638,El Paso County
2639,Erath County
2640,Falls County
2641,Fannin County
2642,Fayette County
2643,Fisher County
2644,Floyd County
2645,Foard County
2646,Fort Bend County
2647,Franklin County
2648,Freestone County
2649,Frio County
2650,Gaines County
2651,Galveston County
2652,Garza County
2653,Gillespie County
2654,Glasscock County
2655,Goliad County
2656,Gonzales County
2657,Gray County
2658,Grayson County
2659,Gregg County
2660,Grimes County
2661,Guadalupe County
2662,Hale County
2663,Hall County
2664,Hamilton County
2665,Hansford County
2666,Hardeman County
2667,Hardin County
2668,Harris County
2669,Harrison County
2670,Hartley County
2671,Haskell County
2672,Hays County
2673,Hemphill County
2674,Henderson County
2675,Hidalgo County
2676,Hill County
2677,Hockley County
2678,Hood County
2679,Hopkins County
2680,Houston County
2681,Howard County
2682,Hudspeth County
2683,Hunt County
2684,Hutchinson County
2685,Irion County
2686,Jack County
2687,Jackson County
2688,Jasper County
2689,Jeff Davis County
2690,Jefferson County
2691,Jim Hogg County
2692,Jim Wells County
2693,Johnson County
2694,Jones County
2695,Karnes County
2696,Kaufman County
2697,Kendall County
2698,Kenedy County
2699,Kent County
2700,Kerr County
2701,Kimble County
2702,King County
2703,Kinney County
2704,Kleberg County
2705,Knox County
2706,Lamar County
2707,Lamb County
2708,Lampasas County
2709,La Salle County
2710,Lavaca County
2711,Lee County
2712,Leon County
2713,Liberty County
2714,Limestone County
2715,Lipscomb County
2716,Live Oak County
2717,Llano County
2718,Loving County
2719,Lubbock County
2720,Lynn County
2721,McCulloch County
2722,McLennan County
2723,McMullen County
2724,Madison County
2725,Marion County
2726,Martin County
2727,Mason County
2728,Matagorda County
2729,Maverick County
2730,Medina County
2731,Menard County
2732,Midland County
2733,Milam County
2734,Mills County
2735,Mitchell County
2736,Montague County
2737,Montgomery County
2738,Moore County
2739,Morris County
2740,Motley County
2741,Nacogdoches County
2742,Navarro County
2743,Newton County
2744,Nolan County
2745,Nueces County
2746,Ochiltree County
2747,Oldham County
2748,Orange County
2749,Palo Pinto County
2750,Panola County
2751,Parker County
2752,Parmer County
2753,Pecos County
2754,Polk County
2755,Potter County
2756,Presidio County
2757,Rains County
2758,Randall County
2759,Reagan County
2760,Real County
2761,Red River County
2762,Reeves County
2763,Refugio County
2764,Roberts County
2765,Robertson County
2766,Rockwall County
2767,Runnels County
2768,Rusk County
2769,Sabine County
2770,San Augustine County
2771,San Jacinto County
2772,San Patricio County
2773,San Saba County
2774,Schleicher County
2775,Scurry County
2776,Shackelford County
2777,Shelby County
2778,Sherman County
2779,Smith County
2780,Somervell County
2781,Starr County
2782,Stephens County
2783,Sterling County
2784,Stonewall County
2785,Sutton County
2786,Swisher County
2787,Tarrant County
2788,Taylor County
2789,Terrell County
2790,Terry County
2791,Throckmorton County
2792,Titus County
2793,Tom Green County
2794,Travis County
2795,Trinity County
2796,Tyler County
2797,Upshur County
2798,Upton County
2799,Uvalde County
2800,Val Verde County
2801,Van Zandt County
2802,Victoria County
2803,Walker County
2804,Waller County
2805,Ward County
2806,Washington County
2807,Webb County
2808,Wharton County
2809,Wheeler County
2810,Wichita County
2811,Wilbarger County
2812,Willacy County
2813,Williamson County
2814,Wilson County
2815,Winkler County
2816,Wise County
2817,Wood County
2818,Yoakum County
2819,Young County
2820,Zapata County
2821,Zavala County
2822,Utah
2823,Beaver County
2824,Box Elder County
2825,Cache County
2826,Carbon County
2827,Daggett County
2828,Davis County
2829,Duchesne County
2830,Emery County
2831,Garfield County
2832,Grand County
2833,Iron County
2834,Juab County
2835,Kane County
2836,Millard County
2837,Morgan County
2838,Piute County
2839,Rich County
2840,Salt Lake County
2841,San Juan County
2842,Sanpete County
2843,Sevier County
2844,Summit County
2845,Tooele County
2846,Uintah County
2847,Utah County
2848,Wasatch County
2849,Washington County
2850,Wayne County
2851,Weber County
2852,Vermont
2853,Addison County
2854,Bennington County
2855,Caledonia County
2856,Chittenden County
2857,Essex County
2858,Franklin County
2859,Grand Isle County
2860,Lamoille County
2861,Orange County
2862,Orleans County
2863,Rutland County
2864,Washington County
2865,Windham County
2866,Windsor County
2867,Virginia
2868,Accomack County
2869,Albemarle County
2870,Alleghany County
2871,Amelia County
2872,Amherst County
2873,Appomattox County
2874,Arlington County
2875,Augusta County
2876,Bath County
2877,Bedford County
2878,Bland County
2879,Botetourt County
2880,Brunswick County
2881,Buchanan County
2882,Buckingham County
2883,Campbell County
2884,Caroline County
2885,Carroll County
2886,Charles City County
2887,Charlotte County
2888,Chesterfield County
2889,Clarke County
2890,Craig County
2891,Culpeper County
2892,Cumberland County
2893,Dickenson County
2894,Dinwiddie County
2895,Essex County
2896,Fairfax County
2897,Fauquier County
2898,Floyd County
2899,Fluvanna County
2900,Franklin County
2901,Frederick County
2902,Giles County
2903,Gloucester County
2904,Goochland County
2905,Grayson County
2906,Greene County
2907,Greensville County
2908,Halifax County
2909,Hanover County
2910,Henrico County
2911,Henry County
2912,Highland County
2913,Isle of Wight County
2914,James City County
2915,King and Queen County
2916,King George County
2917,King William County
2918,Lancaster County
2919,Lee County
2920,Loudoun County
2921,Louisa County
2922,Lunenburg County
2923,Madison County
2924,Mathews County
2925,Mecklenburg County
2926,Middlesex County
2927,Montgomery County
2928,Nelson County
2929,New Kent County
2930,Northampton County
2931,Northumberland County
2932,Nottoway County
2933,Orange County
2934,Page County
2935,Patrick County
2936,Pittsylvania County
2937,Powhatan County
2938,Prince Edward County
2939,Prince George County
2940,Prince William County
2941,Pulaski County
2942,Rappahannock County
2943,Richmond County
2944,Roanoke County
2945,Rockbridge County
2946,Rockingham County
2947,Russell County
2948,Scott County
2949,Shenandoah County
2950,Smyth County
2951,Southampton County
2952,Spotsylvania County
2953,Stafford County
2954,Surry County
2955,Sussex County
2956,Tazewell County
2957,Warren County
2958,Washington County
2959,Westmoreland County
2960,Wise County
2961,Wythe County
2962,York County
2963,Alexandria city
2964,Bristol city
2965,Buena Vista city
2966,Charlottesville city
2967,Chesapeake city
2968,Colonial Heights city
2969,Covington city
2970,Danville city
2971,Emporia city
2972,Fairfax city
2973,Falls Church city
2974,Franklin city
2975,Fredericksburg city
2976,Galax city
2977,Hampton city
2978,Harrisonburg city
2979,Hopewell city
2980,Lexington city
2981,Lynchburg city
2982,Manassas city
2983,Manassas Park city
2984,Martinsville city
2985,Newport News city
2986,Norfolk city
2987,Norton city
2988,Petersburg city
2989,Poquoson city
2990,Portsmouth city
2991,Radford city
2992,Richmond city
2993,Roanoke city
2994,Salem city
2995,Staunton city
2996,Suffolk city
2997,Virginia Beach city
2998,Waynesboro city
2999,Williamsburg city
3000,Winchester city
3001,Washington
3002,Adams County
3003,Asotin County
3004,Benton County
3005,Chelan County
3006,Clallam County
3007,Clark County
3008,Columbia County
3009,Cowlitz County
3010,Douglas County
3011,Ferry County
3012,Franklin County
3013,Garfield County
3014,Grant County
3015,Grays Harbor County
3016,Island County
3017,Jefferson County
3018,King County
3019,Kitsap County
3020,Kittitas County
3021,Klickitat County
3022,Lewis County
3023,Lincoln County
3024,Mason County
3025,Okanogan County
3026,Pacific County
3027,Pend Oreille County
3028,Pierce County
3029,San Juan County
3030,Skagit County
3031,Skamania County
3032,Snohomish County
3033,Spokane County
3034,Stevens County
3035,Thurston County
3036,Wahkiakum County
3037,Walla Walla County
3038,Whatcom County
3039,Whitman County
3040,Yakima County
3041,West Virginia
3042,Barbour County
3043,Berkeley County
3044,Boone County
3045,Braxton County
3046,Brooke County
3047,Cabell County
3048,Calhoun County
3049,Clay County
3050,Doddridge County
3051,Fayette County
3052,Gilmer County
3053,Grant County
3054,Greenbrier County
3055,Hampshire County
3056,Hancock County
3057,Hardy County
3058,Harrison County
3059,Jackson County
3060,Jefferson County
3061,Kanawha County
3062,Lewis County
3063,Lincoln County
3064,Logan County
3065,McDowell County
3066,Marion County
3067,Marshall County
3068,Mason County
3069,Mercer County
3070,Mineral County
3071,Mingo County
3072,Monongalia County
3073,Monroe County
3074,Morgan County
3075,Nicholas County
3076,Ohio County
3077,Pendleton County
3078,Pleasants County
3079,Pocahontas County
3080,Preston County
3081,Putnam County
3082,Raleigh County
3083,Randolph County
3084,Ritchie County
3085,Roane County
3086,Summers County
3087,Taylor County
3088,Tucker County
3089,Tyler County
3090,Upshur County
3091,Wayne County
3092,Webster County
3093,Wetzel County
3094,Wirt County
3095,Wood County
3096,Wyoming County
3097,Wisconsin
3098,Adams County
3099,Ashland County
3100,Barron County
3101,Bayfield County
3102,Brown County
3103,Buffalo County
3104,Burnett County
3105,Calumet County
3106,Chippewa County
3107,Clark County
3108,Columbia County
3109,Crawford County
3110,Dane County
3111,Dodge County
3112,Door County
3113,Douglas County
3114,Dunn County
3115,Eau Claire County
3116,Florence County
3117,Fond du Lac County
3118,Forest County
3119,Grant County
3120,Green County
3121,Green Lake County
3122,Iowa County
3123,Iron County
3124,Jackson County
3125,Jefferson County
3126,Juneau County
3127,Kenosha County
3128,Kewaunee County
3129,La Crosse County
3130,Lafayette County
3131,Langlade County
3132,Lincoln County
3133,Manitowoc County
3134,Marathon County
3135,Marinette County
3136,Marquette County
3137,Menominee County
3138,Milwaukee County
3139,Monroe County
3140,Oconto County
3141,Oneida County
3142,Outagamie County
3143,Ozaukee County
3144,Pepin County
3145,Pierce County
3146,Polk County
3147,Portage County
3148,Price County
3149,Racine County
3150,Richland County
3151,Rock County
3152,Rusk County
3153,St. Croix County
3154,Sauk County
3155,Sawyer County
3156,Shawano County
3157,Sheboygan County
3158,Taylor County
3159,Trempealeau County
3160,Vernon County
3161,Vilas County
3162,Walworth County
3163,Washburn County
3164,Washington County
3165,Waukesha County
3166,Waupaca County
3167,Waushara County
3168,Winnebago County
3169,Wood County
3170,Wyoming
3171,Albany County
3172,Big Horn County
3173,Campbell County
3174,Carbon County
3175,Converse County
3176,Crook County
3177,Fremont County
3178,Goshen County
3179,Hot Springs County
3180,Johnson County
3181,Laramie County
3182,Lincoln County
3183,Natrona County
3184,Niobrara County
3185,Park County
3186,Platte County
3187,Sheridan County
3188,Sublette County
3189,Sweetwater County
3190,Teton County
3191,Uinta County
3192,Washakie County
3193,Weston County
