State,County,ICU Beds
Alabama,Autauga,6
Alabama,Baldwin,51
Alabama,Barbour,5
Alabama,Bibb,0
Alabama,Blount,6
Alabama,Bullock,0
Alabama,Butler,7
Alabama,Calhoun,24
Alabama,Chambers,0
Alabama,Cherokee,0
Alabama,Chilton,6
Alabama,Choctaw,0
Alabama,Clarke,0
Alabama,Clay,4
Alabama,Cleburne,0
Alabama,Coffee,7
Alabama,Colbert,22
Alabama,Conecuh,0
Alabama,Coosa,0
Alabama,Covington,13
Alabama,Crenshaw,0
Alabama,Cullman,12
Alabama,Dale,6
Alabama,Dallas,18
Alabama,DeKalb,12
Alabama,Elmore,5
Alabama,Escambia,14
Alabama,Etowah,56
Alabama,Fayette,12
Alabama,Franklin,7
Alabama,Geneva,6
Alabama,Greene,0
Alabama,Hale,0
Alabama,Henry,0
Alabama,Houston,66
Alabama,Jackson,10
Alabama,Jefferson,471
Alabama,Lamar,0
Alabama,Lauderdale,48
Alabama,Lawrence,6
Alabama,Lee,28
Alabama,Limestone,10
Alabama,Lowndes,0
Alabama,Macon,0
Alabama,Madison,100
Alabama,Marengo,5
Alabama,Marion,4
Alabama,Marshall,20
Alabama,Mobile,157
Alabama,Monroe,8
Alabama,Montgomery,88
Alabama,Morgan,34
Alabama,Perry,0
Alabama,Pickens,4
Alabama,Pike,9
Alabama,Randolph,0
Alabama,Russell,8
Alabama,St. Clair,6
Alabama,Shelby,32
Alabama,Sumter,0
Alabama,Talladega,14
Alabama,Tallapoosa,6
Alabama,Tuscaloosa,84
Alabama,Walker,12
Alabama,Washington,0
Alabama,Wilcox,0
Alabama,Winston,4
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,73
Alaska,Bethel,0
Alaska,Bristol Bay,0
Alaska,Denali,0
Alaska,Dillingham,0
Alaska,Fairbanks North Star,13
Alaska,Haines,0
Alaska,Hoonah-Angoon,0
Alaska,Juneau,9
Alaska,Kenai Peninsula,6
Alaska,Ketchikan Gateway,4
Alaska,Kodiak Island Borough,0
Alaska,Kusilvak,0
Alaska,Lake and Peninsula,0
Alaska,Matanuska-Susitna,14
Alaska,Nome,0
Alaska,North Slope Borough,0
Alaska,Northwest Arctic Borough,0
Alaska,Petersburg Borough,0
Alaska,Prince of Wales-Hyder,0
Alaska,Sitka Borough,0
Alaska,Skagway Municipality,0
Alaska,Southeast Fairbanks ,0
Alaska,Valdez-Cordova ,0
Alaska,Wrangell City and Borough,0
Alaska,Yakutat City and Borough,0
Alaska,Yukon-Koyukuk,0
Arizona,Apache,0
Arizona,Cochise,12
Arizona,Coconino,41
Arizona,Gila,8
Arizona,Graham,0
Arizona,Greenlee,0
Arizona,La Paz,3
Arizona,Maricopa,1004
Arizona,Mohave,80
Arizona,Navajo,12
Arizona,Pima,296
Arizona,Pinal,22
Arizona,Santa Cruz,0
Arizona,Yavapai,39
Arizona,Yuma,42
Arkansas,Arkansas,0
Arkansas,Ashley,6
Arkansas,Baxter,17
Arkansas,Benton,30
Arkansas,Boone,24
Arkansas,Bradley,0
Arkansas,Calhoun,0
Arkansas,Carroll,0
Arkansas,Chicot,0
Arkansas,Clark,0
Arkansas,Clay,0
Arkansas,Cleburne,0
Arkansas,Cleveland,0
Arkansas,Columbia,6
Arkansas,Conway,0
Arkansas,Craighead,66
Arkansas,Crawford,8
Arkansas,Crittenden,0
Arkansas,Cross,0
Arkansas,Dallas,0
Arkansas,Desha,0
Arkansas,Drew,5
Arkansas,Faulkner,25
Arkansas,Franklin,0
Arkansas,Fulton,0
Arkansas,Garland,41
Arkansas,Grant,0
Arkansas,Greene,8
Arkansas,Hempstead,8
Arkansas,Hot Spring,6
Arkansas,Howard,0
Arkansas,Independence,12
Arkansas,Izard,0
Arkansas,Jackson,0
Arkansas,Jefferson,34
Arkansas,Johnson,8
Arkansas,Lafayette,0
Arkansas,Lawrence,0
Arkansas,Lee,0
Arkansas,Lincoln,0
Arkansas,Little River,0
Arkansas,Logan,0
Arkansas,Lonoke,0
Arkansas,Madison,0
Arkansas,Marion,0
Arkansas,Miller,0
Arkansas,Mississippi,5
Arkansas,Monroe,0
Arkansas,Montgomery,0
Arkansas,Nevada,0
Arkansas,Newton,0
Arkansas,Ouachita,8
Arkansas,Perry,0
Arkansas,Phillips,6
Arkansas,Pike,0
Arkansas,Poinsett,0
Arkansas,Polk,6
Arkansas,Pope,11
Arkansas,Prairie,0
Arkansas,Pulaski,209
Arkansas,Randolph,2
Arkansas,St. Francis,6
Arkansas,Saline,16
Arkansas,Scott,0
Arkansas,Searcy,0
Arkansas,Sebastian,69
Arkansas,Sevier,0
Arkansas,Sharp,0
Arkansas,Stone,0
Arkansas,Union,16
Arkansas,Van Buren,0
Arkansas,Washington,61
Arkansas,White,13
Arkansas,Woodruff,0
Arkansas,Yell,0
California,Alameda,282
California,Alpine,0
California,Amador,6
California,Butte,43
California,Calaveras,0
California,Colusa,0
California,Contra Costa,163
California,Del Norte,6
California,El Dorado,28
California,Fresno,164
California,Glenn,0
California,Humboldt,32
California,Imperial,28
California,Inyo,4
California,Kern,144
California,Kings,22
California,Lake,8
California,Lassen,0
California,Los Angeles,2126
California,Madera,10
California,Marin,66
California,Mariposa,0
California,Mendocino,14
California,Merced,24
California,Modoc,0
California,Mono,2
California,Monterey,27
California,Napa,32
California,Nevada,10
California,Orange,651
California,Placer,70
California,Plumas,0
California,Riverside,351
California,Sacramento,396
California,San Benito,8
California,San Bernardino,410
California,San Diego,570
California,San Francisco,337
California,San Joaquin,121
California,San Luis Obispo,46
California,San Mateo,131
California,Santa Barbara,82
California,Santa Clara,313
California,Santa Cruz,22
California,Shasta,81
California,Sierra,0
California,Siskiyou,4
California,Solano,92
California,Sonoma,82
California,Stanislaus,88
California,Sutter,0
California,Tehama,8
California,Trinity,0
California,Tulare,51
California,Tuolumne,6
California,Ventura,139
California,Yolo,14
California,Yuba,24
Colorado,Adams,168
Colorado,Alamosa,6
Colorado,Arapahoe,127
Colorado,Archuleta,0
Colorado,Baca,0
Colorado,Bent,0
Colorado,Boulder,72
Colorado,Broomfield,20
Colorado,Chaffee,2
Colorado,Cheyenne,0
Colorado,Clear Creek,0
Colorado,Conejos,0
Colorado,Costilla,0
Colorado,Crowley,0
Colorado,Custer,0
Colorado,Delta,6
Colorado,Denver,227
Colorado,Dolores,0
Colorado,Douglas,54
Colorado,Eagle,5
Colorado,Elbert,0
Colorado,El Paso,95
Colorado,Fremont,4
Colorado,Garfield,5
Colorado,Gilpin,0
Colorado,Grand,0
Colorado,Gunnison,0
Colorado,Hinsdale,0
Colorado,Huerfano,0
Colorado,Jackson,0
Colorado,Jefferson,94
Colorado,Kiowa,0
Colorado,Kit Carson,0
Colorado,Lake,0
Colorado,La Plata,11
Colorado,Larimer,55
Colorado,Las Animas,0
Colorado,Lincoln,0
Colorado,Logan,4
Colorado,Mesa,44
Colorado,Mineral,0
Colorado,Moffat,0
Colorado,Montezuma,4
Colorado,Montrose,8
Colorado,Morgan,6
Colorado,Otero,506
Colorado,Ouray,0
Colorado,Park,0
Colorado,Phillips,0
Colorado,Pitkin,4
Colorado,Prowers,0
Colorado,Pueblo,32
Colorado,Rio Blanco,0
Colorado,Rio Grande,0
Colorado,Routt,4
Colorado,Saguache,0
Colorado,San Juan,0
Colorado,San Miguel,0
Colorado,Sedgwick,0
Colorado,Summit,8
Colorado,Teller,0
Colorado,Washington,0
Colorado,Weld,26
Colorado,Yuma,0
Connecticut,Fairfield,173
Connecticut,Hartford,216
Connecticut,Litchfield,21
Connecticut,Middlesex,24
Connecticut,New Haven,186
Connecticut,New London,32
Connecticut,Tolland,16
Connecticut,Windham,6
Delaware,Kent,29
Delaware,New Castle,119
Delaware,Sussex,38
District of Columbia,The District,314
Florida,Alachua,210
Florida,Baker,0
Florida,Bay,77
Florida,Bradford,0
Florida,Brevard,159
Florida,Broward,587
Florida,Calhoun,0
Florida,Charlotte,51
Florida,Citrus,40
Florida,Clay,28
Florida,Collier,73
Florida,Columbia,27
Florida,DeSoto,8
Florida,Dixie,0
Florida,Duval,412
Florida,Escambia,120
Florida,Flagler,18
Florida,Franklin,0
Florida,Gadsden,0
Florida,Gilchrist,0
Florida,Glades,0
Florida,Gulf,0
Florida,Hamilton,0
Florida,Hardee,0
Florida,Hendry,3
Florida,Hernando,44
Florida,Highlands,38
Florida,Hillsborough,432
Florida,Holmes,0
Florida,Indian River,40
Florida,Jackson,7
Florida,Jefferson,0
Florida,Lafayette,0
Florida,Lake,158
Florida,Lee,141
Florida,Leon,60
Florida,Levy,0
Florida,Liberty,0
Florida,Madison,0
Florida,Manatee,90
Florida,Marion,110
Florida,Martin,74
Florida,Miami-Dade,593
Florida,Monroe,14
Florida,Nassau,0
Florida,Okaloosa,57
Florida,Okeechobee,8
Florida,Orange,388
Florida,Osceola,66
Florida,Palm Beach,401
Florida,Pasco,166
Florida,Pinellas,279
Florida,Polk,145
Florida,Putnam,10
Florida,St. Johns,47
Florida,St. Lucie,69
Florida,Santa Rosa,16
Florida,Sarasota,118
Florida,Seminole,38
Florida,Sumter,0
Florida,Suwannee,0
Florida,Taylor,6
Florida,Union,0
Florida,Volusia,148
Florida,Wakulla,0
Florida,Walton,28
Florida,Washington,0
Georgia,Appling,3
Georgia,Atkinson,0
Georgia,Bacon,4
Georgia,Baker,0
Georgia,Baldwin,12
Georgia,Banks,0
Georgia,Barrow,6
Georgia,Bartow,21
Georgia,Ben Hill,5
Georgia,Berrien,0
Georgia,Bibb,117
Georgia,Bleckley,0
Georgia,Brantley,0
Georgia,Brooks,0
Georgia,Bryan,0
Georgia,Bulloch,24
Georgia,Burke,0
Georgia,Butts,0
Georgia,Calhoun,0
Georgia,Camden,5
Georgia,Candler,6
Georgia,Carroll,18
Georgia,Catoosa,0
Georgia,Charlton,0
Georgia,Chatham,78
Georgia,Chattahoochee,0
Georgia,Chattooga,0
Georgia,Cherokee,15
Georgia,Clarke,104
Georgia,Clay,0
Georgia,Clayton,34
Georgia,Clinch,0
Georgia,Cobb,119
Georgia,Coffee,10
Georgia,Colquitt,10
Georgia,Columbia,0
Georgia,Cook,0
Georgia,Coweta,19
Georgia,Crawford,0
Georgia,Crisp,16
Georgia,Dade,0
Georgia,Dawson,0
Georgia,Decatur,10
Georgia,DeKalb,168
Georgia,Dodge,6
Georgia,Dooly,0
Georgia,Dougherty,50
Georgia,Douglas,8
Georgia,Early,0
Georgia,Echols,0
Georgia,Effingham,0
Georgia,Elbert,4
Georgia,Emanuel,8
Georgia,Evans,0
Georgia,Fannin,5
Georgia,Fayette,37
Georgia,Floyd,65
Georgia,Forsyth,24
Georgia,Franklin,8
Georgia,Fulton,538
Georgia,Gilmer,0
Georgia,Glascock,0
Georgia,Glynn,24
Georgia,Gordon,8
Georgia,Grady,4
Georgia,Greene,0
Georgia,Gwinnett,82
Georgia,Habersham,4
Georgia,Hall,85
Georgia,Hancock,0
Georgia,Haralson,0
Georgia,Harris,0
Georgia,Hart,0
Georgia,Heard,0
Georgia,Henry,40
Georgia,Houston,36
Georgia,Irwin,0
Georgia,Jackson,0
Georgia,Jasper,0
Georgia,Jeff Davis,4
Georgia,Jefferson,0
Georgia,Jenkins,0
Georgia,Johnson,0
Georgia,Jones,0
Georgia,Lamar,0
Georgia,Lanier,0
Georgia,Laurens,16
Georgia,Lee,0
Georgia,Liberty,0
Georgia,Lincoln,0
Georgia,Long,0
Georgia,Lowndes,48
Georgia,Lumpkin,0
Georgia,McDuffie,0
Georgia,McIntosh,0
Georgia,Macon,0
Georgia,Madison,0
Georgia,Marion,0
Georgia,Meriwether,0
Georgia,Miller,0
Georgia,Mitchell,0
Georgia,Monroe,0
Georgia,Montgomery,0
Georgia,Morgan,0
Georgia,Murray,0
Georgia,Muscogee,61
Georgia,Newton,10
Georgia,Oconee,0
Georgia,Oglethorpe,0
Georgia,Paulding,8
Georgia,Peach,0
Georgia,Pickens,6
Georgia,Pierce,0
Georgia,Pike,0
Georgia,Polk,0
Georgia,Pulaski,6
Georgia,Putnam,0
Georgia,Quitman,0
Georgia,Rabun,0
Georgia,Randolph,0
Georgia,Richmond,264
Georgia,Rockdale,16
Georgia,Schley,0
Georgia,Screven,0
Georgia,Seminole,0
Georgia,Spalding,22
Georgia,Stephens,6
Georgia,Stewart,0
Georgia,Sumter,10
Georgia,Talbot,0
Georgia,Taliaferro,0
Georgia,Tattnall,0
Georgia,Taylor,0
Georgia,Telfair,0
Georgia,Terrell,0
Georgia,Thomas,35
Georgia,Tift,20
Georgia,Toombs,8
Georgia,Towns,0
Georgia,Treutlen,0
Georgia,Troup,20
Georgia,Turner,0
Georgia,Twiggs,0
Georgia,Union,5
Georgia,Upson,28
Georgia,Walker,0
Georgia,Walton,7
Georgia,Ware,22
Georgia,Warren,0
Georgia,Washington,0
Georgia,Wayne,12
Georgia,Webster,0
Georgia,Wheeler,0
Georgia,White,0
Georgia,Whitfield,34
Georgia,Wilcox,0
Georgia,Wilkes,0
Georgia,Wilkinson,0
Georgia,Worth,0
Hawaii,Hawaii,24
Hawaii,Honolulu,148
Hawaii,Kalawao,0
Hawaii,Kauai,9
Hawaii,Maui,20
Idaho,Ada,105
Idaho,Adams,0
Idaho,Bannock,20
Idaho,Bear Lake,0
Idaho,Benewah,0
Idaho,Bingham,5
Idaho,Blaine,0
Idaho,Boise,0
Idaho,Bonner,4
Idaho,Bonneville,35
Idaho,Boundary,0
Idaho,Butte,0
Idaho,Camas,0
Idaho,Canyon,41
Idaho,Caribou,0
Idaho,Cassia,6
Idaho,Clark,0
Idaho,Clearwater,0
Idaho,Custer,0
Idaho,Elmore,0
Idaho,Franklin,0
Idaho,Fremont,0
Idaho,Gem,0
Idaho,Gooding,0
Idaho,Idaho,0
Idaho,Jefferson,0
Idaho,Jerome,0
Idaho,Kootenai,55
Idaho,Latah,0
Idaho,Lemhi,0
Idaho,Lewis,0
Idaho,Lincoln,0
Idaho,Madison,4
Idaho,Minidoka,0
Idaho,Nez Perce,9
Idaho,Oneida,0
Idaho,Owyhee,0
Idaho,Payette,0
Idaho,Power,0
Idaho,Shoshone,0
Idaho,Teton,0
Idaho,Twin Falls,30
Idaho,Valley,0
Idaho,Washington,0
Illinois,Adams,25
Illinois,Alexander,0
Illinois,Bond,0
Illinois,Boone,0
Illinois,Brown,0
Illinois,Bureau,9
Illinois,Calhoun,0
Illinois,Carroll,0
Illinois,Cass,0
Illinois,Champaign,51
Illinois,Christian,0
Illinois,Clark,0
Illinois,Clay,0
Illinois,Clinton,4
Illinois,Coles,9
Illinois,Cook,1606
Illinois,Crawford,0
Illinois,Cumberland,0
Illinois,DeKalb,16
Illinois,De Witt,0
Illinois,Douglas,0
Illinois,DuPage,257
Illinois,Edgar,0
Illinois,Edwards,0
Illinois,Effingham,10
Illinois,Fayette,4
Illinois,Ford,2
Illinois,Franklin,0
Illinois,Fulton,5
Illinois,Gallatin,0
Illinois,Greene,0
Illinois,Grundy,8
Illinois,Hamilton,0
Illinois,Hancock,0
Illinois,Hardin,0
Illinois,Henderson,0
Illinois,Henry,3
Illinois,Iroquois,0
Illinois,Jackson,21
Illinois,Jasper,0
Illinois,Jefferson,22
Illinois,Jersey,4
Illinois,Jo Daviess,0
Illinois,Johnson,0
Illinois,Kane,103
Illinois,Kankakee,56
Illinois,Kendall,0
Illinois,Knox,18
Illinois,Lake,108
Illinois,LaSalle,13
Illinois,Lawrence,0
Illinois,Lee,6
Illinois,Livingston,5
Illinois,Logan,0
Illinois,McDonough,7
Illinois,McHenry,33
Illinois,McLean,30
Illinois,Macon,65
Illinois,Macoupin,0
Illinois,Madison,58
Illinois,Marion,9
Illinois,Marshall,0
Illinois,Mason,0
Illinois,Massac,0
Illinois,Menard,0
Illinois,Mercer,0
Illinois,Monroe,0
Illinois,Montgomery,0
Illinois,Morgan,9
Illinois,Moultrie,0
Illinois,Ogle,4
Illinois,Peoria,107
Illinois,Perry,0
Illinois,Piatt,0
Illinois,Pike,0
Illinois,Pope,0
Illinois,Pulaski,0
Illinois,Putnam,0
Illinois,Randolph,0
Illinois,Richland,8
Illinois,Rock Island,58
Illinois,St. Clair,42
Illinois,Saline,0
Illinois,Sangamon,99
Illinois,Schuyler,0
Illinois,Scott,0
Illinois,Shelby,0
Illinois,Stark,0
Illinois,Stephenson,8
Illinois,Tazewell,8
Illinois,Union,0
Illinois,Vermilion,12
Illinois,Wabash,4
Illinois,Warren,0
Illinois,Washington,0
Illinois,Wayne,4
Illinois,White,0
Illinois,Whiteside,9
Illinois,Will,92
Illinois,Williamson,26
Illinois,Winnebago,87
Illinois,Woodford,0
Indiana,Adams,4
Indiana,Allen,170
Indiana,Bartholomew,17
Indiana,Benton,0
Indiana,Blackford,0
Indiana,Boone,8
Indiana,Brown,0
Indiana,Carroll,0
Indiana,Cass,5
Indiana,Clark,25
Indiana,Clay,0
Indiana,Clinton,0
Indiana,Crawford,0
Indiana,Daviess,5
Indiana,Dearborn,8
Indiana,Decatur,0
Indiana,DeKalb,8
Indiana,Delaware,36
Indiana,Dubois,26
Indiana,Elkhart,35
Indiana,Fayette,20
Indiana,Floyd,16
Indiana,Fountain,0
Indiana,Franklin,7
Indiana,Fulton,4
Indiana,Gibson,5
Indiana,Grant,19
Indiana,Greene,5
Indiana,Hamilton,10
Indiana,Hancock,24
Indiana,Harrison,4
Indiana,Hendricks,39
Indiana,Henry,10
Indiana,Howard,13
Indiana,Huntington,0
Indiana,Jackson,7
Indiana,Jasper,4
Indiana,Jay,0
Indiana,Jefferson,6
Indiana,Jennings,0
Indiana,Johnson,6
Indiana,Knox,30
Indiana,Kosciusko,14
Indiana,LaGrange,0
Indiana,Lake,188
Indiana,LaPorte,34
Indiana,Lawrence,6
Indiana,Madison,21
Indiana,Marion,526
Indiana,Marshall,7
Indiana,Martin,0
Indiana,Miami,4
Indiana,Monroe,38
Indiana,Montgomery,5
Indiana,Morgan,10
Indiana,Newton,0
Indiana,Noble,0
Indiana,Ohio,0
Indiana,Orange,0
Indiana,Owen,0
Indiana,Parke,0
Indiana,Perry,4
Indiana,Pike,0
Indiana,Porter,32
Indiana,Posey,0
Indiana,Pulaski,0
Indiana,Putnam,6
Indiana,Randolph,0
Indiana,Ripley,0
Indiana,Rush,0
Indiana,St. Joseph,74
Indiana,Scott,4
Indiana,Shelby,0
Indiana,Spencer,0
Indiana,Starke,1
Indiana,Steuben,2
Indiana,Sullivan,4
Indiana,Switzerland,0
Indiana,Tippecanoe,30
Indiana,Tipton,0
Indiana,Union,0
Indiana,Vanderburgh,154
Indiana,Vermillion,6
Indiana,Vigo,54
Indiana,Wabash,0
Indiana,Warren,0
Indiana,Warrick,24
Indiana,Washington,0
Indiana,Wayne,30
Indiana,Wells,7
Indiana,White,0
Indiana,Whitley,0
Iowa,Adair,0
Iowa,Adams,0
Iowa,Allamakee,0
Iowa,Appanoose,3
Iowa,Audubon,0
Iowa,Benton,0
Iowa,Black Hawk,24
Iowa,Boone,3
Iowa,Bremer,0
Iowa,Buchanan,0
Iowa,Buena Vista,5
Iowa,Butler,0
Iowa,Calhoun,2
Iowa,Carroll,6
Iowa,Cass,4
Iowa,Cedar,0
Iowa,Cerro Gordo,18
Iowa,Cherokee,0
Iowa,Chickasaw,0
Iowa,Clarke,0
Iowa,Clay,0
Iowa,Clayton,0
Iowa,Clinton,10
Iowa,Crawford,0
Iowa,Dallas,0
Iowa,Davis,0
Iowa,Decatur,0
Iowa,Delaware,0
Iowa,Des Moines,12
Iowa,Dickinson,3
Iowa,Dubuque,18
Iowa,Emmet,0
Iowa,Fayette,0
Iowa,Floyd,0
Iowa,Franklin,0
Iowa,Fremont,0
Iowa,Greene,4
Iowa,Grundy,0
Iowa,Guthrie,0
Iowa,Hamilton,0
Iowa,Hancock,0
Iowa,Hardin,0
Iowa,Harrison,0
Iowa,Henry,0
Iowa,Howard,0
Iowa,Humboldt,0
Iowa,Ida,0
Iowa,Iowa,0
Iowa,Jackson,0
Iowa,Jasper,4
Iowa,Jefferson,0
Iowa,Johnson,95
Iowa,Jones,0
Iowa,Keokuk,0
Iowa,Kossuth,0
Iowa,Lee,10
Iowa,Linn,44
Iowa,Louisa,0
Iowa,Lucas,0
Iowa,Lyon,0
Iowa,Madison,0
Iowa,Mahaska,0
Iowa,Marion,3
Iowa,Marshall,0
Iowa,Mills,0
Iowa,Mitchell,0
Iowa,Monona,0
Iowa,Monroe,0
Iowa,Montgomery,8
Iowa,Muscatine,5
Iowa,O'Brien,0
Iowa,Osceola,0
Iowa,Page,2
Iowa,Palo Alto,0
Iowa,Plymouth,0
Iowa,Pocahontas,0
Iowa,Polk,112
Iowa,Pottawattamie,29
Iowa,Poweshiek,5
Iowa,Ringgold,0
Iowa,Sac,0
Iowa,Scott,46
Iowa,Shelby,0
Iowa,Sioux,0
Iowa,Story,14
Iowa,Tama,0
Iowa,Taylor,0
Iowa,Union,4
Iowa,Van Buren,0
Iowa,Wapello,11
Iowa,Warren,0
Iowa,Washington,0
Iowa,Wayne,0
Iowa,Webster,8
Iowa,Winnebago,0
Iowa,Winneshiek,0
Iowa,Woodbury,33
Iowa,Worth,0
Iowa,Wright,0
Kansas,Allen,0
Kansas,Anderson,0
Kansas,Atchison,4
Kansas,Barber,0
Kansas,Barton,4
Kansas,Bourbon,0
Kansas,Brown,0
Kansas,Butler,16
Kansas,Chase,0
Kansas,Chautauqua,0
Kansas,Cherokee,0
Kansas,Cheyenne,0
Kansas,Clark,0
Kansas,Clay,0
Kansas,Cloud,0
Kansas,Coffey,0
Kansas,Comanche,0
Kansas,Cowley,4
Kansas,Crawford,12
Kansas,Decatur,0
Kansas,Dickinson,0
Kansas,Doniphan,0
Kansas,Douglas,10
Kansas,Edwards,0
Kansas,Elk,0
Kansas,Ellis,34
Kansas,Ellsworth,0
Kansas,Finney,8
Kansas,Ford,10
Kansas,Franklin,5
Kansas,Geary,6
Kansas,Gove,0
Kansas,Graham,0
Kansas,Grant,0
Kansas,Gray,0
Kansas,Greeley,0
Kansas,Greenwood,0
Kansas,Hamilton,0
Kansas,Harper,0
Kansas,Harvey,6
Kansas,Haskell,0
Kansas,Hodgeman,0
Kansas,Jackson,0
Kansas,Jefferson,0
Kansas,Jewell,0
Kansas,Johnson,110
Kansas,Kearny,0
Kansas,Kingman,0
Kansas,Kiowa,0
Kansas,Labette,5
Kansas,Lane,0
Kansas,Leavenworth,10
Kansas,Lincoln,0
Kansas,Linn,0
Kansas,Logan,0
Kansas,Lyon,6
Kansas,McPherson,7
Kansas,Marion,0
Kansas,Marshall,0
Kansas,Meade,0
Kansas,Miami,0
Kansas,Mitchell,4
Kansas,Montgomery,7
Kansas,Morris,0
Kansas,Morton,0
Kansas,Nemaha,0
Kansas,Neosho,5
Kansas,Ness,0
Kansas,Norton,0
Kansas,Osage,0
Kansas,Osborne,0
Kansas,Ottawa,0
Kansas,Pawnee,0
Kansas,Phillips,0
Kansas,Pottawatomie,0
Kansas,Pratt,6
Kansas,Rawlins,0
Kansas,Reno,20
Kansas,Republic,0
Kansas,Rice,0
Kansas,Riley,8
Kansas,Rooks,0
Kansas,Rush,0
Kansas,Russell,0
Kansas,Saline,18
Kansas,Scott,0
Kansas,Sedgwick,236
Kansas,Seward,8
Kansas,Shawnee,52
Kansas,Sheridan,0
Kansas,Sherman,0
Kansas,Smith,0
Kansas,Stafford,0
Kansas,Stanton,0
Kansas,Stevens,0
Kansas,Sumner,0
Kansas,Thomas,1
Kansas,Trego,0
Kansas,Wabaunsee,0
Kansas,Wallace,0
Kansas,Washington,0
Kansas,Wichita,0
Kansas,Wilson,0
Kansas,Woodson,0
Kansas,Wyandotte,145
Kentucky,Adair,0
Kentucky,Allen,0
Kentucky,Anderson,0
Kentucky,Ballard,0
Kentucky,Barren,10
Kentucky,Bath,0
Kentucky,Bell,7
Kentucky,Boone,18
Kentucky,Bourbon,4
Kentucky,Boyd,50
Kentucky,Boyle,22
Kentucky,Bracken,0
Kentucky,Breathitt,4
Kentucky,Breckinridge,0
Kentucky,Bullitt,0
Kentucky,Butler,0
Kentucky,Caldwell,0
Kentucky,Calloway,10
Kentucky,Campbell,21
Kentucky,Carlisle,0
Kentucky,Carroll,0
Kentucky,Carter,0
Kentucky,Casey,0
Kentucky,Christian,18
Kentucky,Clark,8
Kentucky,Clay,6
Kentucky,Clinton,0
Kentucky,Crittenden,0
Kentucky,Cumberland,0
Kentucky,Daviess,32
Kentucky,Edmonson,0
Kentucky,Elliott,0
Kentucky,Estill,0
Kentucky,Fayette,260
Kentucky,Fleming,3
Kentucky,Floyd,16
Kentucky,Franklin,10
Kentucky,Fulton,0
Kentucky,Gallatin,0
Kentucky,Garrard,0
Kentucky,Grant,0
Kentucky,Graves,8
Kentucky,Grayson,6
Kentucky,Green,0
Kentucky,Greenup,0
Kentucky,Hancock,0
Kentucky,Hardin,20
Kentucky,Harlan,7
Kentucky,Harrison,6
Kentucky,Hart,0
Kentucky,Henderson,12
Kentucky,Henry,0
Kentucky,Hickman,0
Kentucky,Hopkins,19
Kentucky,Jackson,0
Kentucky,Jefferson,366
Kentucky,Jessamine,0
Kentucky,Johnson,6
Kentucky,Kenton,54
Kentucky,Knott,0
Kentucky,Knox,4
Kentucky,Larue,0
Kentucky,Laurel,14
Kentucky,Lawrence,6
Kentucky,Lee,0
Kentucky,Leslie,0
Kentucky,Letcher,6
Kentucky,Lewis,0
Kentucky,Lincoln,0
Kentucky,Livingston,0
Kentucky,Logan,6
Kentucky,Lyon,0
Kentucky,McCracken,58
Kentucky,McCreary,0
Kentucky,McLean,0
Kentucky,Madison,12
Kentucky,Magoffin,0
Kentucky,Marion,6
Kentucky,Marshall,4
Kentucky,Martin,0
Kentucky,Mason,5
Kentucky,Meade,0
Kentucky,Menifee,0
Kentucky,Mercer,4
Kentucky,Metcalfe,0
Kentucky,Monroe,0
Kentucky,Montgomery,4
Kentucky,Morgan,0
Kentucky,Muhlenberg,6
Kentucky,Nelson,4
Kentucky,Nicholas,0
Kentucky,Ohio,4
Kentucky,Oldham,8
Kentucky,Owen,0
Kentucky,Owsley,0
Kentucky,Pendleton,0
Kentucky,Perry,32
Kentucky,Pike,76
Kentucky,Powell,0
Kentucky,Pulaski,38
Kentucky,Robertson,0
Kentucky,Rockcastle,0
Kentucky,Rowan,10
Kentucky,Russell,2
Kentucky,Scott,6
Kentucky,Shelby,4
Kentucky,Simpson,0
Kentucky,Spencer,0
Kentucky,Taylor,8
Kentucky,Todd,0
Kentucky,Trigg,0
Kentucky,Trimble,0
Kentucky,Union,0
Kentucky,Warren,52
Kentucky,Washington,0
Kentucky,Wayne,0
Kentucky,Webster,0
Kentucky,Whitley,10
